City,Lat,Lon,Max Temp (f),Humidity,Cloudiness,Wind Speed,Country,Date
Vaini,-21.2,-175.2,78.96,78,40,9.22,TO,1655440659
Port Hedland,-20.3167,118.5667,86.05,21,79,13.8,AU,1655440872
Albany,42.6001,-73.9662,67.17,86,100,6.62,US,1655440873
Hermanus,-34.4187,19.2345,50.81,47,29,5.97,ZA,1655440655
Luanda,-8.8368,13.2343,71.6,78,75,4.61,AO,1655440875
Rikitea,-23.1203,-134.9692,72.7,65,39,3.31,PF,1655440624
Xichang,27.8964,102.2634,68.85,84,100,0.81,CN,1655440876
Dingle,10.9995,122.6711,88.83,63,73,6.58,PH,1655440877
Souillac,-20.5167,57.5167,66.58,94,20,3.44,MU,1655440878
Punta Arenas,-53.15,-70.9167,33.91,75,75,16.11,CL,1655440879
Dakar,14.6937,-17.4441,76.08,76,88,17.98,SN,1655440880
Chokurdakh,70.6333,147.9167,48.7,52,79,11.61,RU,1655440881
Port Blair,11.6667,92.75,86.04,74,40,11.5,IN,1655440882
Ahipara,-35.1667,173.1667,58.12,84,100,6.11,NZ,1655440644
Thompson,55.7435,-97.8558,39.36,75,20,4.61,CA,1655440623
Naze,28.3667,129.4833,72.52,95,100,2.3,JP,1655440884
Tautira,-17.7333,-149.15,79.0,71,50,15.5,PF,1655440884
Necochea,-38.5473,-58.7368,46.31,66,0,13.47,AR,1655440885
Vardø,70.3705,31.1107,40.98,81,100,12.66,NO,1655440886
Bandundu Province,-3.3167,17.3667,70.92,88,63,3.44,CD,1655440887
Avarua,-21.2078,-159.775,77.05,73,49,4.61,CK,1655440888
Okhotsk,59.3833,143.3,50.61,79,96,9.51,RU,1655440889
Saldanha,-33.0117,17.9442,57.25,77,22,12.3,ZA,1655440890
Cidreira,-30.1811,-50.2056,63.63,82,100,10.71,BR,1655440890
Kruisfontein,-34.0033,24.7314,48.88,39,91,10.31,ZA,1655440891
Cockburn Town,21.4612,-71.1419,81.5,78,70,13.87,TC,1655440864
Ostrovnoy,68.0531,39.5131,40.39,98,100,17.18,RU,1655440893
Sola,-13.8833,167.55,80.98,79,48,18.23,VU,1655440893
Kassala,15.451,36.4,85.75,38,25,11.56,SD,1655440894
Marawi,7.9986,124.2928,77.34,85,71,4.92,PH,1655440895
Port Alfred,-33.5906,26.891,55.22,44,77,9.06,ZA,1655440896
Batagay-Alyta,67.8006,130.4114,52.21,44,92,6.71,RU,1655440897
San Quintín,30.4833,-115.95,62.49,85,1,5.1,MX,1655440897
Jamestown,42.097,-79.2353,76.71,89,0,9.22,US,1655440816
Angoche,-16.2325,39.9086,74.62,73,3,10.54,MZ,1655440899
Upernavik,72.7868,-56.1549,31.68,74,1,6.22,GL,1655440900
Ushuaia,-54.8,-68.3,29.86,86,20,5.75,AR,1655440626
Kununurra,-15.7667,128.7333,85.98,16,44,13.8,AU,1655440902
Tuktoyaktuk,69.4541,-133.0374,55.4,47,20,12.66,CA,1655440903
Sosnovo-Ozerskoye,52.5249,111.5418,78.48,37,84,2.1,RU,1655440903
Namwala,-15.7504,26.4384,53.51,56,2,2.1,ZM,1655440904
Umeå,63.8284,20.2597,55.9,71,0,2.3,SE,1655440905
Kapaa,22.0752,-159.319,80.58,87,100,11.5,US,1655440647
Yulara,-25.2406,130.9889,72.55,30,50,8.84,AU,1655440907
Arlit,18.7369,7.3853,85.42,32,98,3.22,NE,1655440908
Butaritari,3.0707,172.7902,82.89,73,18,13.89,KI,1655440615
Pevek,69.7008,170.3133,34.39,79,21,9.08,RU,1655440910
Lac du Bonnet,50.2536,-96.0612,54.91,94,3,6.51,CA,1655440911
Mago,53.2514,140.1822,51.3,96,100,2.35,RU,1655440912
Castro,-24.7911,-50.0119,53.87,81,26,4.16,BR,1655440913
Grand Gaube,-20.0064,57.6608,72.37,75,6,3.0,MU,1655440914
Griffith,41.5284,-87.4237,80.06,58,0,3.44,US,1655440863
Ponta do Sol,32.6667,-17.1,67.71,75,27,3.85,PT,1655440915
Xinyu,27.8043,114.9334,73.18,95,100,5.77,CN,1655440916
Hilo,19.7297,-155.09,78.53,77,0,5.75,US,1655440342
Tasiilaq,65.6145,-37.6368,37.56,98,100,2.86,GL,1655440918
Shizunai-furukawachō,42.3339,142.3669,61.11,88,83,6.29,JP,1655440919
Makat,47.6469,53.3463,86.47,29,82,11.72,KZ,1655440920
Mataura,-46.1927,168.8643,45.48,95,5,1.3,NZ,1655440921
Nikolskoye,59.7035,30.7861,54.88,80,100,7.0,RU,1655440922
Nairn,57.5809,-3.8797,59.16,83,75,9.22,GB,1655440923
Sitka,57.0531,-135.33,62.37,68,61,3.6,US,1655440645
Ancud,-41.8697,-73.8203,41.23,76,12,3.83,CL,1655440467
Saint Paul Harbor,57.79,-152.4072,56.71,72,100,8.05,US,1655440811
Hurricane,37.1753,-113.2899,90.07,15,0,1.45,US,1655440926
Talara,-4.5772,-81.2719,63.3,80,36,18.52,PE,1655440927
Faya,18.3851,42.4509,70.32,20,0,9.73,SA,1655440927
Koutsouras,35.0339,25.9469,76.1,50,0,15.57,GR,1655440928
Geraldton,-28.7667,114.6,73.81,78,75,25.32,AU,1655440929
Codrington,-38.2667,141.9667,59.23,71,90,5.57,AU,1655440930
Ballina,-28.8667,153.5667,70.02,48,2,5.66,AU,1655440931
Phang Nga,8.4509,98.5298,86.04,60,100,3.11,TH,1655440931
Tivaouane,14.9515,-16.8129,75.54,77,95,11.99,SN,1655440932
Iralaya,15.0,-83.2333,78.04,86,99,9.44,HN,1655440933
Nome,64.5011,-165.4064,64.17,62,75,6.91,US,1655440627
Chase,50.8165,-119.6857,58.15,95,95,2.68,CA,1655440935
Arrondissement du Havre,49.5833,0.3333,64.8,72,0,8.05,FR,1655440937
Soignies,50.579,4.0713,62.56,84,75,5.75,BE,1655440938
Bluff,-46.6,168.3333,44.8,70,7,2.86,NZ,1655440647
Kanniyākumāri,8.0833,77.5667,85.03,70,98,15.95,IN,1655440939
Dikson,73.5069,80.5464,31.66,95,98,11.32,RU,1655440940
Bandarbeyla,9.4942,50.8122,84.16,56,82,24.72,SO,1655440941
Bethel,41.3712,-73.414,68.36,91,100,5.75,US,1655440942
Port Elizabeth,-33.918,25.5701,48.49,71,0,2.3,ZA,1655440943
Esperance,-33.8667,121.9,72.25,55,0,16.28,AU,1655440943
Port Hardy,50.6996,-127.4199,55.58,76,40,3.44,CA,1655440935
Klyuchi,52.2667,79.1667,73.4,41,93,16.08,RU,1655440946
Nishihara,26.1842,127.7558,82.06,93,75,14.97,JP,1655440947
Qaanaaq,77.484,-69.3632,32.02,76,50,5.66,GL,1655440616
Aksarka,66.5606,67.7975,60.1,42,41,3.76,RU,1655440948
Beringovskiy,63.05,179.3167,47.19,70,11,5.64,RU,1655440796
Touros,-5.1989,-35.4608,71.19,88,20,9.33,BR,1655440949
Kumluca,36.3703,30.2869,81.64,53,0,1.16,TR,1655440950
Hithadhoo,-0.6,73.0833,81.63,76,99,10.83,MV,1655440951
Leningradskiy,69.3833,178.4167,38.37,70,66,5.95,RU,1655440952
Sangar,63.9242,127.4739,65.19,63,77,2.62,RU,1655440953
Gushikawa,26.3544,127.8686,81.99,83,75,14.97,JP,1655440955
Airai,-8.9266,125.4092,68.47,73,56,4.16,TL,1655440956
Gaspar,-26.9314,-48.9589,62.04,94,90,1.48,BR,1655440957
Lompoc,34.6391,-120.4579,56.01,83,20,11.5,US,1655440891
Grabovo,53.3875,45.064,64.04,68,5,4.61,RU,1655440958
Erenhot,43.6475,111.9767,91.33,19,13,8.32,CN,1655440959
Kavieng,-2.5744,150.7967,84.36,70,25,13.91,PG,1655440960
Havre-St-Pierre,50.2334,-63.5986,57.56,77,100,8.05,CA,1655440961
Lavrentiya,65.5833,-171.0,43.59,74,7,8.21,RU,1655440962
Ribeira Grande,38.5167,-28.7,66.65,88,0,4.23,PT,1655440963
Alofi,-19.0595,-169.9187,78.69,83,77,13.8,NU,1655440964
Qaqortoq,60.7167,-46.0333,37.87,79,78,3.06,GL,1655440965
Arman',59.7,150.1667,52.02,94,100,3.0,RU,1655440966
Kokopo,-4.352,152.2633,83.86,63,14,4.18,PG,1655440966
Atar,20.5169,-13.0499,88.11,20,2,13.11,MR,1655440967
Mar del Plata,-38.0023,-57.5575,33.82,100,0,5.75,AR,1655440968
Dickinson,29.4608,-95.0513,85.12,84,0,3.44,US,1655440740
Zhigansk,66.7697,123.3711,61.02,42,8,17.81,RU,1655440970
Kota Belud,6.351,116.4305,86.45,69,84,5.97,MY,1655440970
Marzuq,14.4,46.4667,85.21,26,96,3.0,YE,1655440971
Kabalo,-6.05,26.9167,70.03,52,71,3.8,CD,1655440972
Saskylakh,71.9167,114.0833,65.26,31,83,14.27,RU,1655440352
Blackwater,-23.5833,148.8833,71.8,38,63,6.4,AU,1655440974
Safford,32.834,-109.7076,97.72,16,20,12.66,US,1655440975
Los Llanos de Aridane,28.6585,-17.9182,65.95,84,100,13.8,ES,1655440976
Itarema,-2.9248,-39.9167,72.59,88,14,9.66,BR,1655440977
Padang,-0.9492,100.3543,82.45,72,88,5.88,ID,1655440978
Dudinka,69.4058,86.1778,54.63,59,93,11.48,RU,1655440978
Carnarvon,-24.8667,113.6333,71.15,76,99,13.13,AU,1655440660
Dumai,1.6833,101.45,91.99,52,71,1.54,ID,1655440980
Elizabeth City,36.2946,-76.2511,77.02,86,0,10.36,US,1655440981
Itacoatiara,-3.1431,-58.4442,71.17,88,6,2.73,BR,1655440982
Iqaluit,63.7506,-68.5145,33.53,80,75,12.66,CA,1655440620
Cabo San Lucas,22.8909,-109.9124,84.61,70,84,12.5,MX,1655440984
Todos Santos,23.45,-110.2167,87.04,70,64,4.59,MX,1655440985
Vestmannaeyjar,63.4427,-20.2734,47.95,90,100,9.48,IS,1655440986
Wanaka,-44.7,169.15,37.83,94,31,2.33,NZ,1655440987
Torbay,47.6666,-52.7314,47.17,85,0,5.75,CA,1655440988
Bestöbe,52.4994,73.0975,75.0,38,7,11.1,KZ,1655440880
Berlevåg,70.8578,29.0864,40.95,81,100,11.5,NO,1655440989
Marsá Maţrūḩ,31.3525,27.2453,74.84,75,0,8.59,EG,1655440990
Severo-Kuril'sk,50.6789,156.125,52.38,73,96,2.48,RU,1655440653
Puerto Ayacucho,5.6639,-67.6236,73.02,95,97,2.68,VE,1655440992
Alenquer,-1.9417,-54.7383,70.83,82,17,1.14,BR,1655440992
Jizan,17.3333,42.6667,90.54,63,1,3.87,SA,1655440974
Biak,-0.9131,122.8766,79.52,80,53,5.86,ID,1655440994
City of San Pedro,14.35,121.0167,92.43,58,40,5.75,PH,1655440995
Orocué,4.7912,-71.3354,73.35,83,94,3.76,CO,1655440996
Belaya Gora,68.5333,146.4167,59.04,41,99,13.47,RU,1655440997
Byron Bay,-28.65,153.6167,69.94,54,1,7.38,AU,1655440998
Yumen,40.2833,97.2,89.06,13,74,17.25,CN,1655440998
Litovko,49.2361,135.1742,71.78,73,99,7.99,RU,1655440999
Chabahar,25.2919,60.643,86.72,72,24,11.99,IR,1655441000
Beatrice,40.2681,-96.747,73.49,73,100,11.14,US,1655440932
Lata,40.1629,-8.3327,59.56,96,55,1.25,PT,1655441002
Wahiawā,21.5028,-158.0236,77.32,70,20,6.91,US,1655441002
Hong Kong,22.2855,114.1577,87.85,82,100,17.0,HK,1655440865
Tuatapere,-46.1333,167.6833,42.53,86,7,0.78,NZ,1655441004
Norman Wells,65.282,-126.8329,62.64,36,20,12.66,CA,1655441005
Nanortalik,60.1432,-45.2371,37.76,86,95,7.07,GL,1655440635
Cherskiy,68.75,161.3,54.45,36,80,12.95,RU,1655441007
Jiancheng,30.391,104.5491,87.62,47,66,6.73,CN,1655441008
Amapá,1.0,-52.0,69.08,99,29,0.6,BR,1655441009
Mocuba,-16.8392,36.9856,65.23,97,54,1.81,MZ,1655441010
Moose Factory,51.2585,-80.6094,59.0,94,100,11.5,CA,1655440639
Ekhabi,53.5102,142.9671,49.01,85,100,9.28,RU,1655441012
Vostok,46.4856,135.8833,72.88,47,73,0.65,RU,1655441013
São João da Barra,-21.6403,-41.0511,66.65,80,0,6.76,BR,1655441014
Arraial do Cabo,-22.9661,-42.0278,68.25,78,0,18.48,BR,1655441014
Gelemso,8.8167,40.5167,66.94,66,55,5.68,ET,1655441015
Coquimbo,-29.9533,-71.3436,49.73,93,0,6.91,CL,1655441016
Khatanga,71.9667,102.5,68.0,44,100,11.56,RU,1655441017
Leh,34.1667,77.5833,57.29,41,99,5.61,IN,1655441018
Zaranj,30.9667,61.8833,91.36,12,0,26.22,AF,1655441018
Barguzin,53.6167,109.6167,83.57,29,51,4.12,RU,1655441019
Yarmouth,41.7057,-70.2286,66.67,87,75,16.11,US,1655441020
Bubaque,11.2833,-15.8333,79.12,82,100,18.03,GW,1655441021
Noumea,-22.2763,166.4572,76.98,99,95,5.99,NC,1655441022
Sarkand,45.41,79.9186,77.36,30,1,7.7,KZ,1655440879
Sorbhog,26.5,90.8667,75.92,97,100,3.18,IN,1655441023
Coyhaique,-45.5752,-72.0662,39.15,60,20,6.91,CL,1655440988
Ismailia,30.6043,32.2723,77.72,66,0,10.96,EG,1655441022
Florence,43.7667,11.25,74.25,69,0,2.3,IT,1655441025
Saint-Philippe,-21.3585,55.7679,74.79,72,4,9.57,RE,1655441027
Assiut,27.181,31.1837,73.58,56,0,18.84,EG,1655441028
Bondoukou,8.0333,-2.8,69.35,96,100,6.46,CI,1655441028
Poum,-20.2333,164.0167,79.36,79,88,13.33,NC,1655441029
Victor Harbor,-35.5667,138.6167,59.68,65,47,3.38,AU,1655441030
Mossamedes,-15.1961,12.1522,63.61,77,6,8.19,AO,1655441031
Omsukchan,62.5333,155.8,48.33,79,100,3.8,RU,1655441032
Den Helder,52.9599,4.7593,64.38,82,100,9.22,NL,1655441033
Robertsport,6.7533,-11.3686,75.83,93,100,12.15,LR,1655441033
Pāli,25.7667,73.3333,93.97,47,13,16.31,IN,1655441035
Lethem,3.3803,-59.7968,73.2,90,39,5.64,GY,1655441036
Korla,41.7597,86.1469,84.72,21,100,15.1,CN,1655440869
Ilulissat,69.2167,-51.1,37.42,87,100,4.61,GL,1655441038
Jacareacanga,-6.2222,-57.7528,68.49,81,55,1.14,BR,1655441039
Viedma,-40.8135,-62.9967,49.64,53,91,24.83,AR,1655440827
Mgandu,-5.95,34.1333,59.65,80,54,8.97,TZ,1655441040
Krasne,49.9145,24.6134,56.86,98,100,5.84,UA,1655441041
Changping,40.2186,116.2197,83.84,36,81,6.2,CN,1655441042
Praia,14.9215,-23.5087,73.94,78,75,9.22,CV,1655441043
Bengkulu,-3.8004,102.2655,81.57,74,100,3.02,ID,1655441043
Provideniya,64.3833,-173.3,42.91,81,0,11.18,RU,1655441044
São Filipe,14.8961,-24.4956,73.26,86,75,7.45,CV,1655441045
Grindavik,63.8424,-22.4338,48.67,87,100,9.22,IS,1655441046
Prince Rupert,54.3161,-130.3201,55.49,81,100,13.8,CA,1655441047
Shima,24.4478,117.8111,80.62,94,100,2.84,CN,1655441048
Warrensburg,38.7628,-93.7361,84.27,77,0,8.05,US,1655441049
Roblin,51.23,-101.3565,52.63,91,36,4.68,CA,1655441021
Palauig,15.435,119.9045,87.24,68,89,6.98,PH,1655441050
Kapiri Mposhi,-13.9652,28.6809,52.03,66,1,5.23,ZM,1655441051
Sambava,-14.2667,50.1667,72.09,76,7,2.91,MG,1655441052
Shihezi,44.3,86.0333,83.84,26,43,5.93,CN,1655441053
Igarka,67.4667,86.5833,68.58,59,62,9.75,RU,1655441054
Aklavik,68.2191,-135.0107,70.41,44,29,6.26,CA,1655441055
New Norfolk,-42.7826,147.0587,51.93,88,99,2.28,AU,1655441055
Turkmenabat,39.0733,63.5786,89.58,12,0,9.22,TM,1655441056
Bay Roberts,47.5999,-53.2648,47.95,86,2,1.01,CA,1655441057
Vila,42.0304,-8.1588,65.7,65,84,4.61,PT,1655441058
Narsaq,60.9167,-46.05,41.22,73,77,1.25,GL,1655441059
Itoman,26.1247,127.6694,83.17,89,75,13.8,JP,1655441060
Te Anau,-45.4167,167.7167,42.69,92,10,0.87,NZ,1655441060
Fort Frances,48.5999,-93.4003,61.02,68,0,4.61,CA,1655441061
Kaitangata,-46.2817,169.8464,41.34,80,9,2.01,NZ,1655441062
San Rafael,-34.6177,-68.3301,47.71,31,26,13.58,AR,1655440763
Taksimo,56.3444,114.8794,77.49,33,40,3.2,RU,1655441063
Yeniseysk,58.4497,92.1703,60.66,89,100,6.55,RU,1655441064
Nālūt,30.3333,10.85,71.35,38,0,9.64,LY,1655441065
Ottawa,45.4112,-75.6981,71.44,91,20,11.5,CA,1655441066
Kemijärvi,66.7131,27.4306,41.77,93,100,11.27,FI,1655441067
Stornoway,58.2093,-6.3865,55.36,95,100,28.77,GB,1655441068
Waitati,-45.75,170.5667,45.81,65,40,5.1,NZ,1655441069
Mezen',65.8522,44.24,56.64,83,84,8.08,RU,1655441070
Takoradze,4.8845,-1.7554,75.13,90,100,10.38,GH,1655441071
Grandview,38.8858,-94.533,84.15,76,0,9.22,US,1655441072
Hofn,64.2539,-15.2082,47.5,82,100,15.08,IS,1655441072
Kem',64.9555,34.5793,46.18,90,100,13.91,RU,1655441073
Mount Isa,-20.7333,139.5,76.77,23,0,10.36,AU,1655441074
Margate,51.3813,1.3862,61.7,77,92,1.99,GB,1655441075
Almeirim,-1.5233,-52.5817,71.22,88,79,0.89,BR,1655441076
Yar-Sale,66.8333,70.8333,60.42,38,43,5.37,RU,1655441013
Batočina,44.1536,21.0817,64.94,59,65,2.39,RS,1655441077
Hagenow,53.4333,11.1833,52.88,82,55,5.95,DE,1655441078
Adelaide,-34.9333,138.6,63.09,64,75,12.66,AU,1655440785
Mahébourg,-20.4081,57.7,72.25,94,20,3.44,MU,1655440578
Faanui,-16.4833,-151.75,80.42,68,3,17.0,PF,1655441080
Nhamundá,-2.1861,-56.7131,70.05,85,15,1.45,BR,1655441081
São Gabriel da Cachoeira,-0.1303,-67.0892,69.49,99,98,0.29,BR,1655441082
Turaif,31.6725,38.6637,80.85,34,0,13.8,SA,1655441083
Abu Samrah,35.3029,37.1841,80.33,37,0,3.49,SY,1655440651
Broken Hill,-31.95,141.4333,58.64,46,60,9.69,AU,1655441085
Careiro da Várzea,-3.2003,-59.8119,75.81,81,13,3.67,BR,1655441086
Bukama,-9.2,25.85,62.44,45,30,4.0,CD,1655441087
Fortuna,40.5982,-124.1573,55.65,85,0,0.0,US,1655441089
Karabük,41.2049,32.6277,66.58,76,90,0.2,TR,1655441090
Kirakira,-10.4544,161.9205,82.45,77,80,8.95,SB,1655441092
Amga,60.8953,131.9608,68.45,58,88,3.83,RU,1655441093
Lālmohan,22.3384,90.7419,82.29,82,100,19.37,BD,1655441094
Quang Ngai,15.1167,108.8,95.95,47,28,8.41,VN,1655441095
Mwinilunga,-11.7358,24.4293,48.99,62,34,3.98,ZM,1655441095
Tucuruí,-3.7661,-49.6725,74.26,82,80,3.29,BR,1655441096
Nouadhibou,20.931,-17.0347,67.98,83,0,23.02,MR,1655441098
Santa Rosa,14.3122,121.1114,93.18,59,96,3.87,PH,1655441099
Manono,-7.3,27.4167,69.03,49,18,3.13,CD,1655441099
Clarence Town,-32.5833,151.7833,66.81,51,4,3.78,AU,1655441101
La Sarre,48.8002,-79.1996,55.09,90,45,12.17,CA,1655441026
Manokwari,-0.8667,134.0833,83.52,69,56,7.27,ID,1655441103
Husavik,66.0449,-17.3389,51.6,68,100,6.11,IS,1655441105
Porto-Novo,6.4965,2.6036,75.02,93,100,3.91,BJ,1655441106
Behbahān,30.5959,50.2417,98.28,6,0,1.63,IR,1655441107
Namie,37.4833,141.0,78.71,74,100,4.21,JP,1655441108
Gilgit,35.9221,74.3087,77.65,44,53,1.9,PK,1655441109
Strängnäs,59.3774,17.0312,59.95,66,87,3.96,SE,1655441110
Carora,10.1755,-70.0827,75.81,73,45,7.74,VE,1655441111
Gōtsuchō,35.0,132.2167,77.09,66,1,8.72,JP,1655440872
Akdepe,42.0551,59.3788,86.09,13,1,10.94,TM,1655441113
Paamiut,61.994,-49.6678,38.53,80,100,16.28,GL,1655441114
Nabire,-3.3667,135.4833,82.38,79,53,2.51,ID,1655440949
Balogo,10.8868,124.7105,88.95,60,41,3.2,PH,1655441116
Quatre Cocos,-20.2078,57.7625,73.09,62,11,10.98,MU,1655441118
San Policarpo,12.1791,125.5072,85.66,69,60,7.92,PH,1655441120
Karagaylinskiy,54.172,86.5521,62.35,76,94,13.29,RU,1655441121
Mercedes,-34.6515,-59.4307,44.64,82,14,7.61,AR,1655441020
Kavaratti,10.5669,72.642,82.67,77,99,13.04,IN,1655441122
Haizhou,34.5817,119.1289,100.9,26,33,3.29,CN,1655441123
Baykit,61.67,96.37,70.95,78,98,7.36,RU,1655441124
Sistranda,63.7256,8.834,51.76,93,99,5.23,NO,1655440837
Līsakovsk,52.5369,62.4936,77.97,42,40,5.59,KZ,1655440875
Makakilo City,21.3469,-158.0858,79.12,66,20,19.57,US,1655441126
Bañón,40.8382,-1.1909,69.06,46,95,4.61,ES,1655441127
Nuuk,64.1835,-51.7216,39.81,81,75,29.93,GL,1655441128
Thongwa,16.7619,96.5278,89.76,60,98,7.67,MM,1655441129
Tataouine,32.9297,10.4518,73.45,47,0,2.86,TN,1655441130
Chumikan,54.7183,135.315,43.61,84,82,8.08,RU,1655441131
Avilés,43.5547,-5.9248,70.18,83,0,2.3,ES,1655441131
Deputatsky,69.3,139.9,52.39,39,84,4.12,RU,1655441133
Sibolga,1.7427,98.7792,85.86,62,90,5.01,ID,1655441134
Sovetskiy,61.3614,63.5842,73.6,36,22,6.69,RU,1655441135
Road Town,18.4167,-64.6167,80.69,73,100,13.0,VG,1655441136
Buckeye,33.3703,-112.5838,102.97,11,0,10.36,US,1655441137
East London,-33.0153,27.9116,55.0,38,88,6.96,ZA,1655440625
Kisangani,0.5167,25.2,70.95,98,100,1.54,CD,1655441138
Kibondo,-3.5864,30.7203,62.55,67,28,1.39,TZ,1655441139
Longyearbyen,78.2186,15.6401,39.04,87,75,9.22,SJ,1655441140
Fallon,39.4735,-118.7774,80.47,10,40,4.61,US,1655441141
Arrondissement de Saumur,47.3333,-0.25,67.84,64,4,4.23,FR,1655441142
Abbotsford,49.058,-122.2526,59.68,93,40,2.3,CA,1655440947
San-Pédro,4.7485,-6.6363,75.06,93,100,8.72,CI,1655441144
Winslow,35.0242,-110.6974,82.58,12,0,8.05,US,1655441145
Novobirilyussy,56.9514,90.6661,65.53,72,84,9.69,RU,1655441146
Inírida,3.8653,-67.9239,70.5,98,76,0.49,CO,1655441146
Chennai,13.0878,80.2785,93.18,68,20,4.0,IN,1655441123
Batagay,67.6333,134.6333,59.11,35,38,11.88,RU,1655441148
Pathein,16.7833,94.7333,90.09,59,95,8.08,MM,1655441149
Tornio,65.8481,24.1466,48.22,76,99,12.33,FI,1655441150
Kahului,20.8947,-156.47,80.62,73,75,19.57,US,1655441151
Havøysund,70.9963,24.6622,39.43,80,100,10.83,NO,1655441152
Zharkent,44.1628,80.0,78.3,37,0,5.66,KZ,1655441153
Beloha,-25.1667,45.05,65.55,52,76,7.94,MG,1655441154
Pacific Grove,36.6177,-121.9166,58.1,86,40,14.97,US,1655440967
Matagami,49.7502,-77.6328,62.71,72,40,8.05,CA,1655441156
Dhidhdhoo,6.8833,73.1,83.26,76,88,11.79,MV,1655441157
Lunsar,8.6833,-12.5333,68.9,98,100,3.22,SL,1655441158
Ust-Kuyga,70.0167,135.6,51.66,43,56,12.41,RU,1655441158
Richards Bay,-28.783,32.0377,52.66,65,28,5.93,ZA,1655441159
Morros,-9.4467,-46.3003,73.9,52,37,1.95,BR,1655441160
Lüderitz,-26.6481,15.1594,54.07,74,0,6.26,NA,1655441161
Vytegra,61.0064,36.4481,47.71,97,100,11.54,RU,1655441162
Yangi Marg`ilon,40.4272,71.7189,79.52,36,85,4.61,UZ,1655440945
Altamont,42.2068,-121.7372,57.04,51,0,6.91,US,1655441164
Dongying,37.4564,118.4856,94.19,36,55,7.09,CN,1655441165
Province of Mantua,45.1667,10.7833,74.35,82,38,3.8,IT,1655441166
Felipe Carrillo Puerto,19.5833,-88.05,73.53,95,78,2.17,MX,1655441167
Tommot,58.9564,126.2925,58.62,86,100,8.5,RU,1655441168
Ryōtsu-minato,38.0833,138.4333,72.3,68,38,7.09,JP,1655441169
Pangai,-19.8,-174.35,80.71,74,40,19.57,TO,1655440654
Aykhal,66.0,111.5,70.92,40,47,5.91,RU,1655441170
Manggar,-2.8833,108.2667,79.66,82,100,5.75,ID,1655441171
Curuçá,-0.7289,-47.8481,71.98,94,65,3.24,BR,1655441032
Katsuura,35.1333,140.3,75.85,79,100,17.29,JP,1655441172
Mehamn,71.0357,27.8492,40.91,87,75,5.75,NO,1655441174
Hambantota,6.1241,81.1185,82.74,89,75,5.75,LK,1655441175
Ketchikan,55.3422,-131.6461,57.67,77,0,14.97,US,1655441176
Stawell,-37.05,142.7667,57.83,59,68,4.5,AU,1655441176
Maumere,-8.6199,122.2111,83.61,68,76,4.16,ID,1655441177
Kloulklubed,7.0419,134.2556,82.9,66,91,3.11,PW,1655441178
Arkhangelsk,64.5401,40.5433,59.11,72,75,4.47,RU,1655441019
Antalaha,-14.9003,50.2788,72.05,74,4,3.0,MG,1655441180
Campbellton,48.0075,-66.6727,55.85,74,79,6.31,CA,1655441181
Shenjiamen,29.9576,122.298,74.55,91,97,13.69,CN,1655441182
Lagoa,39.05,-27.9833,65.08,89,0,8.12,PT,1655441182
Labuhan,-6.8844,112.2051,86.56,67,79,8.66,ID,1655441183
Dubbo,-32.25,148.6167,57.33,67,100,9.22,AU,1655441184
